"idx","sex","status","grade"
"2437","여","유료회원","초6학년"
"41617","남","유료회원","초1학년"
"4054","여","유료회원","초2학년"
"57719","남","유료회원","초4학년"
"12030","남","유료회원","초1학년"
"7352","남","유료회원","초4학년"
"53788","여","유료회원","초3학년"
"11063","여","유료회원","초6학년"
"20468","남","유료회원","초5학년"
"6386","남","유료회원","초2학년"
"11611","남","유료회원","초4학년"
"74662","남","유료회원","초5학년"
"15515","남","유료회원","초2학년"
"51016","남","유료회원","초6학년"
"27422","여","유료회원","초2학년"
"42777","정보없음","유료회원","초2학년"
"14473","여","유료회원","초2학년"
"56645","여","유료회원","초1학년"
"18026","여","유료회원","초5학년"
"26703","남","유료회원","초3학년"
"34856","남","유료회원","초2학년"
"28050","남","유료회원","초4학년"
"56627","남","유료회원","초4학년"
"20260","남","유료회원","초1학년"
"77485","남","유료회원","초3학년"
"33529","남","유료회원","초4학년"
"73902","여","유료회원","초1학년"
"570","여","유료회원","초2학년"
"32570","여","유료회원","초4학년"
"64694","남","유료회원","초4학년"
"3695","남","유료회원","초3학년"
"41852","여","유료회원","초2학년"
"18549","여","유료회원","초3학년"
"4803","남","유료회원","초4학년"
"6271","남","유료회원","초3학년"
"54948","여","유료회원","초5학년"
"46602","여","유료회원","초3학년"
"26980","남","유료회원","초4학년"
"84034","여","유료회원","초4학년"
"51771","남","유료회원","초2학년"
"9239","여","유료회원","초6학년"
"44773","남","유료회원","초1학년"
"38010","여","유료회원","초3학년"
"52032","여","유료회원","초3학년"
"28969","남","유료회원","초1학년"
"45769","남","유료회원","초2학년"
"23487","여","유료회원","초5학년"
"90220","남","유료회원","초6학년"
"27461","여","유료회원","초4학년"
"26301","남","유료회원","초1학년"
"65340","남","유료회원","초2학년"
"84073","여","유료회원","초5학년"
"16946","남","유료회원","초2학년"
"79218","여","유료회원","초2학년"
"8178","남","유료회원","초1학년"
"8678","남","유료회원","초4학년"
"23495","여","유료회원","초2학년"
"67184","여","유료회원","초3학년"
"19649","남","유료회원","초6학년"
"44985","여","유료회원","초3학년"
"1696","남","유료회원","초3학년"
"37155","여","유료회원","초1학년"
"38414","남","유료회원","초4학년"
"37447","남","유료회원","초1학년"
"2789","남","유료회원","초4학년"
"68138","남","유료회원","초3학년"
"3637","여","유료회원","초2학년"
"17427","남","유료회원","초1학년"
"16374","남","유료회원","초3학년"
"80123","남","유료회원","초3학년"
"22969","남","유료회원","초4학년"
"57162","남","유료회원","초5학년"
"41619","남","유료회원","초2학년"
"60930","여","유료회원","초6학년"
"13192","남","유료회원","초2학년"
"42374","여","유료회원","초2학년"
"42563","남","유료회원","초2학년"
"5793","여","유료회원","초4학년"
"26670","여","유료회원","초4학년"
"37980","여","유료회원","초4학년"
"74703","남","유료회원","초2학년"
"92741","남","유료회원","초1학년"
"29958","남","유료회원","초3학년"
"74242","남","유료회원","초2학년"
"7835","여","유료회원","초5학년"
"12532","여","유료회원","초5학년"
"13425","여","유료회원","초5학년"
"47697","남","유료회원","초2학년"
"32353","남","유료회원","초4학년"
"17873","여","유료회원","초3학년"
"70468","여","유료회원","초5학년"
"81561","남","유료회원","초5학년"
"55715","남","유료회원","초2학년"
"58855","정보없음","유료회원","초6학년"
"85573","남","유료회원","초4학년"
"77849","남","유료회원","초2학년"
"36757","여","유료회원","초3학년"
"51749","남","유료회원","초3학년"
"64389","여","유료회원","0학년"
"12576","남","유료회원","초3학년"
"18764","남","유료회원","초2학년"
"38392","남","유료회원","초3학년"
"35699","남","유료회원","초5학년"
"7520","남","유료회원","초5학년"
"82208","여","유료회원","초5학년"
"24303","여","유료회원","초2학년"
"77312","여","유료회원","초6학년"
"12035","남","유료회원","초3학년"
"56823","여","유료회원","초5학년"
"40899","여","유료회원","초1학년"
"18682","여","유료회원","초4학년"
"28681","여","유료회원","초3학년"
"69275","여","유료회원","초2학년"
"31452","여","유료회원","초3학년"
"50273","여","유료회원","초6학년"
"57318","여","유료회원","초2학년"
"59913","남","유료회원","초1학년"
"24300","남","유료회원","0학년"
"38929","남","유료회원","초2학년"
"48183","여","유료회원","초3학년"
"20076","남","유료회원","초6학년"
"43997","남","유료회원","초6학년"
"30887","남","유료회원","초2학년"
"44412","남","유료회원","초2학년"
"88059","남","유료회원","초2학년"
"8285","여","유료회원","초4학년"
"60158","남","유료회원","초6학년"
"17790","남","학습만료","초4학년"
